ポケモン名,タイプ1,タイプ2,H,A,B,C,D,S,とくせい1,とくせい2,とくせい3,ポケ徹ID,ポケ徹リンク種別
ポポッコ,くさ,ひこう,55,45,50,45,65,80,ようりょくそ,リーフガード,すりぬけ,n188,exact
ワタッコ,くさ,ひこう,75,55,70,55,95,110,ようりょくそ,リーフガード,すりぬけ,n189,exact
エイパム,ノーマル,,55,70,55,40,55,85,にげあし,ものひろい,スキルリンク,n190,exact
エテボース,ノーマル,,75,100,66,60,66,115,テクニシャン,ものひろい,スキルリンク,n424,exact
ヒマナッツ,くさ,,30,30,30,30,30,30,ようりょくそ,サンパワー,はやおき,n191,exact
キマワリ,くさ,,75,75,55,105,85,30,ようりょくそ,サンパワー,はやおき,n192,exact
ヤンヤンマ,むし,ひこう,65,65,45,75,45,95,かそく,ふくがん,おみとおし,n193,exact
メガヤンマ,むし,ひこう,86,76,86,116,56,95,かそく,いろめがね,おみとおし,n469,exact
ウパー,みず,じめん,55,45,45,25,25,15,しめりけ,ちょすい,てんねん,n194,exact
ヌオー,みず,じめん,95,85,85,65,65,35,しめりけ,ちょすい,てんねん,n195,exact
ヤミカラス,あく,ひこう,60,85,42,85,42,91,ふみん,きょううん,いたずらごころ,n198,exact
ドンカラス,あく,ひこう,100,125,52,105,52,71,ふみん,きょううん,じしんかじょう,n430,exact
ムウマ,ゴースト,,60,60,60,85,85,85,ふゆう,,,n200,exact
ムウマージ,ゴースト,,60,60,60,105,105,105,ふゆう,,,n429,exact
アンノーン,エスパー,,48,72,48,72,48,48,ふゆう,,,n201,exact
ソーナノ,エスパー,,95,23,48,23,48,23,かげふみ,テレパシー,,n360,exact
ソーナンス,エスパー,,190,33,58,33,58,33,かげふみ,テレパシー,,n202,exact
キリンリキ,ノーマル,エスパー,70,80,65,90,65,85,せいしんりょく,はやおき,そうしょく,n203,exact
クヌギダマ,むし,,50,65,90,35,35,15,がんじょう,ぼうじん,,n204,exact
フォレトス,むし,はがね,75,90,140,60,60,40,がんじょう,ぼうじん,,n205,exact
ノコッチ,ノーマル,,100,70,70,65,65,45,てんのめぐみ,にげあし,びびり,n206,exact
グライガー,じめん,ひこう,65,75,105,35,65,85,かいりきバサミ,すながくれ,めんえき,n207,exact
グライオン,じめん,ひこう,75,95,125,45,75,95,かいりきバサミ,すながくれ,ポイズンヒール,n472,exact
ブルー,フェアリー,,60,80,50,40,40,30,いかく,にげあし,びびり,n209,exact
グランブル,フェアリー,,90,120,75,60,60,45,いかく,はやあし,びびり,n210,exact
ハリーセン,みず,どく,65,95,85,55,55,85,どくのトゲ,すいすい,いかく,n211,exact
ツボツボ,むし,いわ,20,10,230,10,230,5,がんじょう,くいしんぼう,あまのじゃく,n213,exact
ヘラクロス,むし,かくとう,80,125,75,40,95,85,むしのしらせ,こんじょう,じしんかじょう,n214,exact
メガヘラクロス,むし,かくとう,80,185,115,40,105,75,スキルリンク,,,n214m,exact
ニューラ,あく,こおり,55,95,55,35,75,115,せいしんりょく,するどいめ,わるいてぐせ,n215,exact
マニューラ,あく,こおり,70,120,65,45,85,125,プレッシャー,わるいてぐせ,,n461,exact
ヒメグマ,ノーマル,,60,80,50,50,50,40,ものひろい,はやあし,みつあつめ,n216,exact
リングマ,ノーマル,,90,130,75,75,75,55,こんじょう,はやあし,きんちょうかん,n217,exact
マグマッグ,ほのお,,40,40,40,70,40,20,マグマのよろい,ほのおのからだ,くだけるよろい,n218,exact
マグカルゴ,ほのお,いわ,60,50,120,90,80,30,マグマのよろい,ほのおのからだ,くだけるよろい,n219,exact
ウリムー,こおり,じめん,50,50,40,30,30,50,どんかん,ゆきがくれ,あついしぼう,n220,exact
イノムー,こおり,じめん,100,100,80,60,60,50,どんかん,ゆきがくれ,あついしぼう,n221,exact
マンムー,こおり,じめん,110,130,80,70,60,80,どんかん,ゆきがくれ,あついしぼう,n473,exact
サニーゴ,みず,いわ,65,55,95,65,95,35,はりきり,しぜんかいふく,さいせいりょく,n222,exact
サニーゴ(ガラル),ゴースト,,60,55,100,65,100,30,くだけるよろい,のろわれボディ,,n222g,exact
テッポウオ,みず,,35,65,35,65,35,65,はりきり,スナイパー,ムラっけ,n223,exact
オクタン,みず,,75,105,75,105,75,45,きゅうばん,スナイパー,ムラっけ,n224,exact
デリバード,こおり,ひこう,45,55,45,65,45,75,やるき,はりきり,ふみん,n225,exact
タマンタ,みず,ひこう,45,20,50,60,120,50,すいすい,ちょすい,みずのベール,n458,exact
マンタイン,みず,ひこう,85,40,70,80,140,70,すいすい,ちょすい,みずのベール,n226,exact
エアームド,はがね,ひこう,65,80,140,40,70,70,するどいめ,がんじょう,くだけるよろい,n227,exact
デルビル,あく,ほのお,45,60,30,80,50,65,はやおき,もらいび,きんちょうかん,n228,exact
ヘルガー,あく,ほのお,75,90,50,110,80,95,はやおき,もらいび,きんちょうかん,n229,exact
メガヘルガー,あく,ほのお,75,90,90,140,90,115,サンパワー,,,n229m,exact
ゴマゾウ,じめん,,90,60,60,40,40,40,ものひろい,すながくれ,,n231,exact
ドンファン,じめん,,90,120,120,60,60,50,がんじょう,すながくれ,,n232,exact
オドシシ,ノーマル,,73,95,62,85,65,85,いかく,おみとおし,そうしょく,n234,exact
ドーブル,ノーマル,,55,20,35,20,45,75,マイペース,テクニシャン,ムラっけ,n235,exact
ミルタンク,ノーマル,,95,80,105,40,70,100,あついしぼう,きもったま,そうしょく,n241,exact
ライコウ,でんき,,90,85,75,115,100,115,プレッシャー,せいしんりょく,,n243,exact
エンテイ,ほのお,,115,115,85,90,75,100,プレッシャー,せいしんりょく,,n244,exact
スイクン,みず,,100,75,115,90,115,85,プレッシャー,せいしんりょく,,n245,exact
ヨーギラス,いわ,じめん,50,64,50,45,50,41,こんじょう,すながくれ,,n246,exact
サナギラス,いわ,じめん,70,84,70,65,70,51,だっぴ,,,n247,exact
バンギラス,いわ,あく,100,134,110,95,100,61,すなおこし,きんちょうかん,,n248,exact
メガバンギラス,いわ,あく,100,164,150,95,120,71,すなおこし,,,n248m,exact
ルギア,エスパー,ひこう,106,90,130,90,154,110,プレッシャー,マルチスケイル,,n249,exact
ホウオウ,ほのお,ひこう,106,130,90,110,154,90,プレッシャー,さいせいりょく,,n250,exact
セレビィ,エスパー,くさ,100,100,100,100,100,100,しぜんかいふく,,,n251,exact
キモリ,くさ,,40,45,35,65,55,70,しんりょく,かるわざ,,n252,exact
ジュプトル,くさ,,50,65,45,85,65,95,しんりょく,かるわざ,,n253,exact
ジュカイン,くさ,,70,85,65,105,85,120,しんりょく,かるわざ,,n254,exact
メガジュカイン,くさ,ドラゴン,70,110,75,145,85,145,ひらいしん,,,n254m,exact
アチャモ,ほのお,,45,60,40,70,50,45,もうか,かそく,,n255,exact
ワカシャモ,ほのお,かくとう,60,85,60,85,60,55,もうか,かそく,,n256,exact
バシャーモ,ほのお,かくとう,80,120,70,110,70,80,もうか,かそく,,n257,exact
メガバシャーモ,ほのお,かくとう,80,160,80,130,80,100,かそく,,,n257m,exact
ミズゴロウ,みず,,50,70,50,50,50,40,げきりゅう,しめりけ,,n258,exact
ヌマクロー,みず,じめん,70,85,70,60,70,50,げきりゅう,しめりけ,,n259,exact
ラグラージ,みず,じめん,100,110,90,85,90,60,げきりゅう,しめりけ,,n260,exact
メガラグラージ,みず,じめん,100,150,110,95,110,70,すいすい,,,n260m,exact
ポチエナ,あく,,35,55,35,30,30,35,にげあし,はやあし,びびり,n261,exact
グラエナ,あく,,70,90,70,60,60,70,いかく,はやあし,じしんかじょう,n262,exact
ジグザグマ,ノーマル,,38,30,41,30,41,60,ものひろい,くいしんぼう,はやあし,n263,exact
ジグザグマ(ガラル),あく,ノーマル,38,30,41,30,41,60,ものひろい,くいしんぼう,はやあし,n263g,exact
マッスグマ,ノーマル,,78,70,61,50,61,100,ものひろい,くいしんぼう,はやあし,n264,exact
マッスグマ(ガラル),あく,ノーマル,78,70,61,50,61,100,ものひろい,くいしんぼう,はやあし,n264g,exact
ケムッソ,むし,,45,45,35,20,30,20,りんぷん,にげあし,,n265,exact
カラサリス,むし,,50,35,55,25,25,15,だっぴ,,,n266,exact
アゲハント,むし,ひこう,60,70,50,100,50,65,むしのしらせ,とうそうしん,,n267,exact
マユルド,むし,,50,35,55,25,25,15,だっぴ,,,n268,exact
ドクケイル,むし,どく,60,50,70,50,90,65,りんぷん,ふくがん,,n269,exact
ハスボー,みず,くさ,40,30,30,40,50,30,すいすい,あめうけざら,マイペース,n270,exact
ハスブレロ,みず,くさ,60,50,50,60,70,50,すいすい,あめうけざら,マイペース,n271,exact
ルンパッパ,みず,くさ,80,70,70,90,100,70,すいすい,あめうけざら,マイペース,n272,exact
タネボー,くさ,,40,40,50,30,30,30,ようりょくそ,はやおき,わるいてぐせ,n273,exact
コノハナ,くさ,あく,70,70,40,60,40,60,ようりょくそ,はやおき,わるいてぐせ,n274,exact
ダーテング,くさ,あく,90,100,60,90,60,80,ようりょくそ,かぜのり,わるいてぐせ,n275,exact
スバメ,ノーマル,ひこう,40,55,30,30,30,85,こんじょう,きもったま,,n276,exact
オオスバメ,ノーマル,ひこう,60,85,60,75,50,125,こんじょう,きもったま,,n277,exact
キャモメ,みず,ひこう,40,30,30,55,30,85,するどいめ,うるおいボディ,あめうけざら,n278,exact
ペリッパー,みず,ひこう,60,50,100,95,70,65,するどいめ,あめふらし,あめうけざら,n279,exact
ラルトス,エスパー,フェアリー,28,25,25,45,35,40,シンクロ,トレース,テレパシー,n280,exact
キルリア,エスパー,フェアリー,38,35,35,65,55,50,シンクロ,トレース,テレパシー,n281,exact
サーナイト,エスパー,フェアリー,68,65,65,125,115,80,シンクロ,トレース,テレパシー,n282,exact
メガサーナイト,エスパー,フェアリー,68,85,65,165,135,100,フェアリースキン,,,n282m,exact
エルレイド,エスパー,かくとう,68,125,65,65,115,80,ふくつのこころ,きれあじ,せいぎのこころ,n475,exact
メガエルレイド,エスパー,かくとう,68,165,95,65,115,110,せいしんりょく,,,n475m,exact
アメタマ,むし,みず,40,30,32,50,52,65,すいすい,あめうけざら,,n283,exact
アメモース,むし,ひこう,70,60,62,100,82,80,いかく,きんちょうかん,,n284,exact
キノココ,くさ,,60,40,60,40,60,35,ほうし,ポイズンヒール,はやあし,n285,exact
キノガッサ,くさ,かくとう,60,130,80,60,60,70,ほうし,ポイズンヒール,テクニシャン,n286,exact
ナマケロ,ノーマル,,60,60,60,35,35,30,なまけ,,,n287,exact
ヤルキモノ,ノーマル,,80,80,80,55,55,90,やるき,,,n288,exact
ケッキング,ノーマル,,150,160,100,95,65,100,なまけ,,,n289,exact
ツチニン,むし,じめん,31,45,90,30,30,40,ふくがん,にげあし,,n290,exact
テッカニン,むし,ひこう,61,90,45,50,50,160,かそく,すりぬけ,,n291,exact
ヌケニン,むし,ゴースト,1,90,45,30,30,40,ふしぎなまもり,,,n292,exact
ゴニョニョ,ノーマル,,64,51,23,51,23,28,ぼうおん,びびり,,n293,exact
ドゴーム,ノーマル,,84,71,43,71,43,48,ぼうおん,きもったま,,n294,exact
バクオング,ノーマル,,104,91,63,91,73,68,ぼうおん,きもったま,,n295,exact
マクノシタ,かくとう,,72,60,30,20,30,25,あついしぼう,こんじょう,ちからずく,n296,exact
ハリテヤマ,かくとう,,144,120,60,40,60,50,あついしぼう,こんじょう,ちからずく,n297,exact
ノズパス,いわ,,30,45,135,45,90,30,がんじょう,じりょく,すなのちから,n299,exact
ダイノーズ,いわ,はがね,60,55,145,75,150,40,がんじょう,じりょく,すなのちから,n476,exact
エネコ,ノーマル,,50,45,45,35,35,50,メロメロボディ,ノーマルスキン,ミラクルスキン,n300,exact
エネコロロ,ノーマル,,70,65,65,55,55,90,メロメロボディ,ノーマルスキン,ミラクルスキン,n301,exact
ヤミラミ,あく,ゴースト,50,75,75,65,65,50,するどいめ,あとだし,いたずらごころ,n302,exact
メガヤミラミ,あく,ゴースト,50,85,125,85,115,20,マジックミラー,,,n302m,exact
クチート,はがね,フェアリー,50,85,85,55,55,50,かいりきバサミ,いかく,ちからずく,n303,exact
メガクチート,はがね,フェアリー,50,105,125,55,95,50,ちからもち,,,n303m,exact
ココドラ,はがね,いわ,50,70,100,40,40,30,がんじょう,いしあたま,ヘヴィメタル,n304,exact
コドラ,はがね,いわ,60,90,140,50,50,40,がんじょう,いしあたま,ヘヴィメタル,n305,exact
ボスゴドラ,はがね,いわ,70,110,180,60,60,50,がんじょう,いしあたま,ヘヴィメタル,n306,exact
メガボスゴドラ,はがね,,70,140,230,60,80,50,フィルター,,,n306m,exact
アサナン,かくとう,エスパー,30,40,55,40,55,60,ヨガパワー,テレパシー,,n307,exact
チャーレム,かくとう,エスパー,60,60,75,60,75,80,ヨガパワー,テレパシー,,n308,exact
メガチャーレム,かくとう,エスパー,60,100,85,80,85,100,ヨガパワー,,,n308m,exact
ラクライ,でんき,,40,45,40,65,40,65,せいでんき,ひらいしん,マイナス,n309,exact
ライボルト,でんき,,70,75,60,105,60,105,せいでんき,ひらいしん,マイナス,n310,exact
メガライボルト,でんき,,70,75,80,135,80,135,いかく,,,n310m,exact
プラスル,でんき,,60,50,40,85,75,95,プラス,ひらいしん,,n311,exact
マイナン,でんき,,60,40,50,75,85,95,マイナス,ちくでん,,n312,exact
バルビート,むし,,65,73,75,47,85,85,はっこう,むしのしらせ,いたずらごころ,n313,exact
イルミーゼ,むし,,65,47,75,73,85,85,どんかん,いろめがね,いたずらごころ,n314,exact
スボミー,くさ,どく,40,30,35,50,70,55,しぜんかいふく,どくのトゲ,リーフガード,n406,exact
ロゼリア,くさ,どく,50,60,45,100,80,65,しぜんかいふく,どくのトゲ,リーフガード,n315,exact
ロズレイド,くさ,どく,60,70,65,125,105,90,しぜんかいふく,どくのトゲ,テクニシャン,n407,exact
ゴクリン,どく,,70,43,53,43,53,40,ヘドロえき,ねんちゃく,くいしんぼう,n316,exact
マルノーム,どく,,100,73,83,73,83,55,ヘドロえき,ねんちゃく,くいしんぼう,n317,exact
キバニア,みず,あく,45,90,20,65,20,65,さめはだ,かそく,,n318,exact
サメハダー,みず,あく,70,120,40,95,40,95,さめはだ,かそく,,n319,exact
メガサメハダー,みず,あく,70,140,70,110,65,105,がんじょうあご,,,n319m,exact
ホエルコ,みず,,130,70,35,70,35,60,みずのベール,どんかん,プレッシャー,n320,exact
ホエルオー,みず,,170,90,45,90,45,60,みずのベール,どんかん,プレッシャー,n321,exact
ドンメル,ほのお,じめん,60,60,40,65,45,35,どんかん,たんじゅん,マイペース,n322,exact
バクーダ,ほのお,じめん,70,100,70,105,75,40,マグマのよろい,ハードロック,いかりのつぼ,n323,exact
メガバクーダ,ほのお,じめん,70,120,100,145,105,20,ちからずく,,,n323m,exact
コータス,ほのお,,70,85,140,85,70,20,しろいけむり,ひでり,シェルアーマー,n324,exact
バネブー,エスパー,,60,25,35,70,80,60,あついしぼう,マイペース,くいしんぼう,n325,exact
ブーピッグ,エスパー,,80,45,65,90,110,80,あついしぼう,マイペース,くいしんぼう,n326,exact
パッチール,ノーマル,,60,60,60,60,60,60,マイペース,ちどりあし,あまのじゃく,n327,exact
ナックラー,じめん,,45,100,45,45,45,10,かいりきバサミ,ありじごく,ちからずく,n328,exact
ビブラーバ,じめん,ドラゴン,50,70,50,50,50,70,ふゆう,,,n329,exact
フライゴン,じめん,ドラゴン,80,100,80,80,80,100,ふゆう,,,n330,exact
サボネア,くさ,,50,85,40,85,40,35,すながくれ,ちょすい,,n331,exact
ノクタス,くさ,あく,70,115,60,115,60,55,すながくれ,ちょすい,,n332,exact
チルット,ノーマル,ひこう,45,40,60,40,75,50,しぜんかいふく,ノーてんき,,n333,exact
チルタリス,ドラゴン,ひこう,75,70,90,70,105,80,しぜんかいふく,ノーてんき,,n334,exact
メガチルタリス,ドラゴン,フェアリー,75,110,110,110,105,80,フェアリースキン,,,n334m,exact
ザングース,ノーマル,,73,115,60,60,60,90,めんえき,どくぼうそう,,n335,exact
ハブネーク,どく,,73,100,60,100,60,65,だっぴ,すりぬけ,,n336,exact
ルナトーン,いわ,エスパー,90,55,65,95,85,70,ふゆう,,,n337,exact
ソルロック,いわ,エスパー,90,95,85,55,65,70,ふゆう,,,n338,exact
ドジョッチ,みず,じめん,50,48,43,46,41,60,どんかん,きけんよち,うるおいボディ,n339,exact
ナマズン,みず,じめん,110,78,73,76,71,60,どんかん,きけんよち,うるおいボディ,n340,exact
ヘイガニ,みず,,43,80,65,50,35,35,かいりきバサミ,シェルアーマー,てきおうりょく,n341,exact
シザリガー,みず,あく,63,120,85,90,55,55,かいりきバサミ,シェルアーマー,てきおうりょく,n342,exact
ヤジロン,じめん,エスパー,40,40,55,40,70,55,ふゆう,,,n343,exact
ネンドール,じめん,エスパー,60,70,105,70,120,75,ふゆう,,,n344,exact
リリーラ,いわ,くさ,66,41,77,61,87,23,きゅうばん,よびみず,,n345,exact
ユレイドル,いわ,くさ,86,81,97,81,107,43,きゅうばん,よびみず,,n346,exact
アノプス,いわ,むし,45,95,50,40,50,75,カブトアーマー,すいすい,,n347,exact
アーマルド,いわ,むし,75,125,100,70,80,45,カブトアーマー,すいすい,,n348,exact
ヒンバス,みず,,20,15,20,10,55,80,すいすい,どんかん,てきおうりょく,n349,exact
ミロカロス,みず,,95,60,79,100,125,81,ふしぎなうろこ,かちき,メロメロボディ,n350,exact
ポワルン,ノーマル,,70,70,70,70,70,70,てんきや,,,n351,exact
ポワルン(たいよう),ほのお,,70,70,70,70,70,70,てんきや,,,n351,species
ポワルン(あまみず),みず,,70,70,70,70,70,70,てんきや,,,n351,species
ポワルン(ゆきぐも),こおり,,70,70,70,70,70,70,てんきや,,,n351,species
カクレオン,ノーマル,,60,90,70,60,120,40,へんしょく,へんげんじざい,,n352,exact
カゲボウズ,ゴースト,,44,75,35,63,33,45,ふみん,おみとおし,のろわれボディ,n353,exact
ジュペッタ,ゴースト,,64,115,65,83,63,65,ふみん,おみとおし,のろわれボディ,n354,exact
メガジュペッタ,ゴースト,,64,165,75,93,83,75,いたずらごころ,,,n354m,exact
ヨマワル,ゴースト,,20,40,90,30,90,25,ふゆう,おみとおし,,n355,exact
サマヨール,ゴースト,,40,70,130,60,130,25,プレッシャー,おみとおし,,n356,exact
ヨノワール,ゴースト,,45,100,135,65,135,45,プレッシャー,おみとおし,,n477,exact
トロピウス,くさ,ひこう,99,68,83,72,87,51,ようりょくそ,サンパワー,しゅうかく,n357,exact
リーシャン,エスパー,,45,30,50,65,50,45,ふゆう,,,n433,exact
チリーン,エスパー,,75,50,80,95,90,65,ふゆう,,,n358,exact
アブソル,あく,,65,130,60,75,60,75,プレッシャー,きょううん,せいぎのこころ,n359,exact
メガアブソル,あく,,65,150,60,115,60,115,マジックミラー,,,n359m,exact
ユキワラシ,こおり,,50,50,50,50,50,50,せいしんりょく,アイスボディ,ムラっけ,n361,exact
オニゴーリ,こおり,,80,80,80,80,80,80,せいしんりょく,アイスボディ,ムラっけ,n362,exact
メガオニゴーリ,こおり,,80,120,80,120,80,100,フリーズスキン,,,n362m,exact
ユキメノコ,こおり,ゴースト,70,80,70,80,70,110,ゆきがくれ,のろわれボディ,,n478,exact
タマザラシ,こおり,みず,70,40,50,55,50,25,あついしぼう,アイスボディ,どんかん,n363,exact
トドグラー,こおり,みず,90,60,70,75,70,45,あついしぼう,アイスボディ,どんかん,n364,exact
トドゼルガ,こおり,みず,110,80,90,95,90,65,あついしぼう,アイスボディ,どんかん,n365,exact
パールル,みず,,35,64,85,74,55,32,シェルアーマー,びびり,,n366,exact
ハンテール,みず,,55,104,105,94,75,52,すいすい,みずのベール,,n367,exact
サクラビス,みず,,55,84,105,114,75,52,すいすい,うるおいボディ,,n368,exact
ジーランス,みず,いわ,100,90,130,45,65,55,すいすい,いしあたま,がんじょう,n369,exact
ラブカス,みず,,43,30,55,40,65,97,すいすい,うるおいボディ,,n370,exact
タツベイ,ドラゴン,,45,75,60,40,30,50,いしあたま,ちからずく,,n371,exact
コモルー,ドラゴン,,65,95,100,60,50,50,いしあたま,ぼうじん,,n372,exact
ボーマンダ,ドラゴン,ひこう,95,135,80,110,80,100,いかく,じしんかじょう,,n373,exact
メガボーマンダ,ドラゴン,ひこう,95,145,130,120,90,120,スカイスキン,,,n373m,exact
ダンバル,はがね,エスパー,40,55,80,35,60,30,クリアボディ,ライトメタル,,n374,exact
メタング,はがね,エスパー,60,75,100,55,80,50,クリアボディ,ライトメタル,,n375,exact
メタグロス,はがね,エスパー,80,135,130,95,90,70,クリアボディ,ライトメタル,,n376,exact
メガメタグロス,はがね,エスパー,80,145,150,105,110,110,かたいツメ,,,n376m,exact
レジロック,いわ,,80,100,200,50,100,50,クリアボディ,がんじょう,,n377,exact
レジアイス,こおり,,80,50,100,100,200,50,クリアボディ,アイスボディ,,n378,exact
レジスチル,はがね,,80,75,150,75,150,50,クリアボディ,ライトメタル,,n379,exact
ラティアス,ドラゴン,エスパー,80,80,90,110,130,110,ふゆう,,,n380,exact
メガラティアス,ドラゴン,エスパー,80,100,120,140,150,110,ふゆう,,,n380m,exact
ラティオス,ドラゴン,エスパー,80,90,80,130,110,110,ふゆう,,,n381,exact
メガラティオス,ドラゴン,エスパー,80,130,100,160,120,110,ふゆう,,,n381m,exact
カイオーガ,みず,,100,100,90,150,140,90,あめふらし,,,n382,exact
ゲンシカイオーガ,みず,,100,150,90,180,160,90,はじまりのうみ,,,n382p,exact
グラードン,じめん,,100,150,140,100,90,90,ひでり,,,n383,exact
ゲンシグラードン,じめん,ほのお,100,180,160,150,90,90,おわりのだいち,,,n383p,exact
レックウザ,ドラゴン,ひこう,105,150,90,150,90,95,エアロック,,,n384,exact
メガレックウザ,ドラゴン,ひこう,105,180,100,180,100,115,デルタストリーム,,,n384m,exact
ジラーチ,はがね,エスパー,100,100,100,100,100,100,てんのめぐみ,,,n385,exact
デオキシス,エスパー,,50,150,50,150,50,150,プレッシャー,,,n386,exact
デオキシス(アタック),エスパー,,50,180,20,180,20,150,プレッシャー,,,n386a,exact
デオキシス(ディフェンス),エスパー,,50,70,160,70,160,90,プレッシャー,,,n386d,exact
デオキシス(スピード),エスパー,,50,95,90,95,90,180,プレッシャー,,,n386s,exact
ナエトル,くさ,,55,68,64,45,55,31,しんりょく,シェルアーマー,,n387,exact
ハヤシガメ,くさ,,75,89,85,55,65,36,しんりょく,シェルアーマー,,n388,exact
ドダイトス,くさ,じめん,95,109,105,75,85,56,しんりょく,シェルアーマー,,n389,exact
ヒコザル,ほのお,,44,58,44,58,44,61,もうか,てつのこぶし,,n390,exact
モウカザル,ほのお,かくとう,64,78,52,78,52,81,もうか,てつのこぶし,,n391,exact
ゴウカザル,ほのお,かくとう,76,104,71,104,71,108,もうか,てつのこぶし,,n392,exact
ポッチャマ,みず,,53,51,53,61,56,40,げきりゅう,かちき,,n393,exact
ポッタイシ,みず,,64,66,68,81,76,50,げきりゅう,かちき,,n394,exact
エンペルト,みず,はがね,84,86,88,111,101,60,げきりゅう,かちき,,n395,exact
ムックル,ノーマル,ひこう,40,55,30,30,30,60,するどいめ,すてみ,,n396,exact
ムクバード,ノーマル,ひこう,55,75,50,40,40,80,いかく,すてみ,,n397,exact
ムクホーク,ノーマル,ひこう,85,120,70,50,60,100,いかく,すてみ,,n398,exact
ビッパ,ノーマル,,59,45,40,35,40,31,たんじゅん,てんねん,ムラっけ,n399,exact
ビーダル,ノーマル,みず,79,85,60,55,60,71,たんじゅん,てんねん,ムラっけ,n400,exact
コロボーシ,むし,,37,25,41,25,41,25,だっぴ,にげあし,,n401,exact
コロトック,むし,,77,85,51,55,51,65,むしのしらせ,テクニシャン,,n402,exact
コリンク,でんき,,45,65,34,40,34,45,とうそうしん,いかく,こんじょう,n403,exact
ルクシオ,でんき,,60,85,49,60,49,60,とうそうしん,いかく,こんじょう,n404,exact
レントラー,でんき,,80,120,79,95,79,70,とうそうしん,いかく,こんじょう,n405,exact
ズガイドス,いわ,,67,125,40,30,30,58,かたやぶり,ちからずく,,n408,exact
ラムパルド,いわ,,97,165,60,65,50,58,かたやぶり,ちからずく,,n409,exact
タテトプス,いわ,はがね,30,42,118,42,88,30,がんじょう,ぼうおん,,n410,exact
トリデプス,いわ,はがね,60,52,168,47,138,30,がんじょう,ぼうおん,,n411,exact
ミノムッチ,むし,,40,29,45,29,45,36,だっぴ,ぼうじん,,n412,exact
ミノマダム,むし,くさ,60,59,85,79,105,36,きけんよち,ぼうじん,,n413,exact
ミノマダム(すなちのミノ),むし,じめん,60,79,105,59,85,36,きけんよち,ぼうじん,,n413s,exact
ミノマダム(ゴミのミノ),むし,はがね,60,69,95,69,95,36,きけんよち,ぼうじん,,n413d,exact
ガーメイル,むし,ひこう,70,94,50,94,50,66,むしのしらせ,いろめがね,,n414,exact
ミツハニー,むし,ひこう,30,30,42,30,42,70,みつあつめ,はりきり,,n415,exact
ビークイン,むし,ひこう,70,80,102,80,102,40,プレッシャー,きんちょうかん,,n416,exact
パチリス,でんき,,60,45,70,45,90,95,にげあし,ものひろい,ちくでん,n417,exact
ブイゼル,みず,,55,65,35,60,30,85,すいすい,みずのベール,,n418,exact
フローゼル,みず,,85,105,55,85,50,115,すいすい,みずのベール,,n419,exact
チェリンボ,くさ,,45,35,45,62,53,35,ようりょくそ,,,n420,exact
チェリム,くさ,,70,60,70,87,78,85,フラワーギフト,,,n421,exact
カラナクシ,みず,,76,48,48,57,62,34,ねんちゃく,よびみず,すなのちから,n422,exact
トリトドン,みず,じめん,111,83,68,92,82,39,ねんちゃく,よびみず,すなのちから,n423,exact
フワンテ,ゴースト,ひこう,90,50,34,60,44,70,ゆうばく,かるわざ,ねつぼうそう,n425,exact
フワライド,ゴースト,ひこう,150,80,44,90,54,80,ゆうばく,かるわざ,ねつぼうそう,n426,exact
ミミロル,ノーマル,,55,66,44,44,56,85,にげあし,ぶきよう,じゅうなん,n427,exact
ミミロップ,ノーマル,,65,76,84,54,96,105,メロメロボディ,ぶきよう,じゅうなん,n428,exact
メガミミロップ,ノーマル,かくとう,65,136,94,54,96,135,きもったま,,,n428m,exact
ニャルマー,ノーマル,,49,55,42,42,37,85,じゅうなん,マイペース,するどいめ,n431,exact
ブニャット,ノーマル,,71,82,64,64,59,112,あついしぼう,マイペース,まけんき,n432,exact
スカンプー,どく,あく,63,63,47,41,41,74,あくしゅう,ゆうばく,するどいめ,n434,exact
スカタンク,どく,あく,103,93,67,71,61,84,あくしゅう,ゆうばく,するどいめ,n435,exact
ドーミラー,はがね,エスパー,57,24,86,24,86,23,ふゆう,たいねつ,ヘヴィメタル,n436,exact
ドータクン,はがね,エスパー,67,89,116,79,116,33,ふゆう,たいねつ,ヘヴィメタル,n437,exact
ペラップ,ノーマル,ひこう,76,65,45,92,42,91,するどいめ,ちどりあし,はとむね,n441,exact
ミカルゲ,ゴースト,あく,50,92,108,92,108,35,プレッシャー,すりぬけ,,n442,exact
フカマル,ドラゴン,じめん,58,70,45,40,45,42,すながくれ,さめはだ,,n443,exact
ガバイト,ドラゴン,じめん,68,90,65,50,55,82,すながくれ,さめはだ,,n444,exact
ガブリアス,ドラゴン,じめん,108,130,95,80,85,102,すながくれ,さめはだ,,n445,exact
メガガブリアス,ドラゴン,じめん,108,170,115,120,95,92,すなのちから,,,n445m,exact
リオル,かくとう,,40,70,40,35,40,60,ふくつのこころ,せいしんりょく,いたずらごころ,n447,exact
ルカリオ,かくとう,はがね,70,110,70,115,70,90,ふくつのこころ,せいしんりょく,せいぎのこころ,n448,exact
メガルカリオ,かくとう,はがね,70,145,88,140,70,112,てきおうりょく,,,n448m,exact
ヒポポタス,じめん,,68,72,78,38,42,32,すなおこし,すなのちから,,n449,exact
カバルドン,じめん,,108,112,118,68,72,47,すなおこし,すなのちから,,n450,exact
